model,best_params,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,"{'C': 0.1, 'solver': 'liblinear'}",0.774365821094793,0.6342592592592593,0.9614035087719298,0.7642956764295676,0.9620009074410163
Random Forest,"{'max_depth': None, 'n_estimators': 50}",0.9933244325767691,0.9964539007092199,0.9859649122807017,0.9911816578483245,0.9999319419237749
